/home/lang/SteerNet-v2/.venv/bin/python /home/lang/SteerNet-v2/test.py
num_actions:  5
observation_space:  (4, 240, 64)
Using device: cuda
conv_output_size:  8320
conv_output_size:  8320
Starting training for 5000 episodes...
Observation shape: (4, 240, 64)
Episode 740/5000 | Avg Reward: 42.80 | Avg Length: 20 | Epsilon: 0.227 | Loss: 1.7145 | Buffer: 10280 | 1.72s/ep | Elapsed: 12.9m
Episode 750/5000 | Avg Reward: 51.19 | Avg Length: 25 | Epsilon: 0.223 | Loss: 1.5035 | Buffer: 10531 | 1.84s/ep | Elapsed: 13.2m
Episode 760/5000 | Avg Reward: 24.74 | Avg Length: 13 | Epsilon: 0.218 | Loss: 1.3656 | Buffer: 10658 | 1.08s/ep | Elapsed: 13.4m
Episode 770/5000 | Avg Reward: 29.28 | Avg Length: 15 | Epsilon: 0.214 | Loss: 1.2879 | Buffer: 10807 | 0.99s/ep | Elapsed: 13.5m
Episode 780/5000 | Avg Reward: 59.39 | Avg Length: 29 | Epsilon: 0.210 | Loss: 0.9700 | Buffer: 11097 | 2.15s/ep | Elapsed: 13.9m
Episode 790/5000 | Avg Reward: 57.46 | Avg Length: 26 | Epsilon: 0.206 | Loss: 0.9839 | Buffer: 11362 | 2.25s/ep | Elapsed: 14.3m
Episode 800/5000 | Avg Reward: 14.52 | Avg Length: 8 | Epsilon: 0.202 | Loss: 0.9615 | Buffer: 11440 | 0.66s/ep | Elapsed: 14.4m
Episode 810/5000 | Avg Reward: 76.20 | Avg Length: 35 | Epsilon: 0.198 | Loss: 0.8507 | Buffer: 11790 | 2.70s/ep | Elapsed: 14.8m
Episode 820/5000 | Avg Reward: 15.60 | Avg Length: 8 | Epsilon: 0.194 | Loss: 0.7701 | Buffer: 11873 | 0.42s/ep | Elapsed: 14.9m
Episode 830/5000 | Avg Reward: 37.91 | Avg Length: 19 | Epsilon: 0.190 | Loss: 2.5014 | Buffer: 12064 | 1.62s/ep | Elapsed: 15.2m
Episode 840/5000 | Avg Reward: 74.35 | Avg Length: 35 | Epsilon: 0.186 | Loss: 1.8114 | Buffer: 12413 | 2.67s/ep | Elapsed: 15.6m
Episode 850/5000 | Avg Reward: 59.30 | Avg Length: 28 | Epsilon: 0.182 | Loss: 1.3983 | Buffer: 12692 | 2.07s/ep | Elapsed: 16.0m
Episode 860/5000 | Avg Reward: 46.77 | Avg Length: 23 | Epsilon: 0.179 | Loss: 1.3950 | Buffer: 12924 | 1.96s/ep | Elapsed: 16.3m
Episode 870/5000 | Avg Reward: 59.41 | Avg Length: 31 | Epsilon: 0.175 | Loss: 1.4025 | Buffer: 13233 | 2.33s/ep | Elapsed: 16.7m
Episode 880/5000 | Avg Reward: 45.98 | Avg Length: 22 | Epsilon: 0.172 | Loss: 1.3032 | Buffer: 13453 | 1.57s/ep | Elapsed: 16.9m
Episode 890/5000 | Avg Reward: 73.85 | Avg Length: 34 | Epsilon: 0.168 | Loss: 1.1118 | Buffer: 13788 | 2.53s/ep | Elapsed: 17.4m
Episode 900/5000 | Avg Reward: 47.07 | Avg Length: 23 | Epsilon: 0.165 | Loss: 3.7947 | Buffer: 14015 | 1.92s/ep | Elapsed: 17.7m
Episode 910/5000 | Avg Reward: 56.26 | Avg Length: 31 | Epsilon: 0.162 | Loss: 2.2080 | Buffer: 14325 | 2.33s/ep | Elapsed: 18.1m
