num_actions: 5
observation_space: (4, 240, 64)
Using device: cuda
conv_output_size: 8320
conv_output_size: 8320
Starting training for 3000 episodes...
Observation shape: (4, 240, 64)
Starting at Level 0: {'vehicles_count': 5, 'vehicles_density': 0.5}
Epsilon: 1.0 -> 0.02 (decay: 0.99)
Ep 800/3000 | Lv: 1 (150/200) | Reward: 83.4 | Crash: 67% | Speed: 27.4 | Len: 57 | Eps: 0.111 | Loss: 0.7666 | 3.63s/ep | 44.3m
Ep 810/3000 | Lv: 1 (160/200) | Reward: 82.3 | Crash: 68% | Speed: 27.4 | Len: 55 | Eps: 0.100 | Loss: 0.7483 | 3.45s/ep | 44.9m
Ep 820/3000 | Lv: 1 (170/200) | Reward: 95.9 | Crash: 66% | Speed: 27.4 | Len: 59 | Eps: 0.091 | Loss: 0.7407 | 3.74s/ep | 45.5m
Ep 830/3000 | Lv: 1 (180/200) | Reward: 99.6 | Crash: 62% | Speed: 27.5 | Len: 59 | Eps: 0.082 | Loss: 0.8157 | 3.57s/ep | 46.1m
Ep 840/3000 | Lv: 1 (190/200) | Reward: 168.4 | Crash: 57% | Speed: 27.6 | Len: 83 | Eps: 0.074 | Loss: 0.8415 | 5.35s/ep | 47.0m
Ep 850/3000 | Lv: 1 (200/200) | Reward: 95.6 | Crash: 56% | Speed: 27.7 | Len: 58 | Eps: 0.067 | Loss: 0.7224 | 3.48s/ep | 47.6m
Ep 860/3000 | Lv: 1 (210/200) | Reward: 173.3 | Crash: 53% | Speed: 27.7 | Len: 85 | Eps: 0.061 | Loss: 0.8768 | 5.50s/ep | 48.5m
Ep 870/3000 | Lv: 1 (220/200) | Reward: 126.3 | Crash: 51% | Speed: 27.7 | Len: 68 | Eps: 0.055 | Loss: 0.7991 | 4.13s/ep | 49.2m
Ep 880/3000 | Lv: 1 (230/200) | Reward: 115.1 | Crash: 49% | Speed: 27.8 | Len: 64 | Eps: 0.050 | Loss: 0.8043 | 4.04s/ep | 49.9m
Ep 890/3000 | Lv: 1 (240/200) | Reward: 192.3 | Crash: 44% | Speed: 27.9 | Len: 93 | Eps: 0.045 | Loss: 0.8779 | 5.82s/ep | 50.8m
Ep 900/3000 | Lv: 1 (250/200) | Reward: 127.0 | Crash: 42% | Speed: 28.1 | Len: 65 | Eps: 0.041 | Loss: 0.8993 | 4.16s/ep | 51.5m
Ep 910/3000 | Lv: 1 (260/200) | Reward: 111.3 | Crash: 41% | Speed: 28.2 | Len: 62 | Eps: 0.037 | Loss: 0.7576 | 3.67s/ep | 52.2m
Ep 920/3000 | Lv: 1 (270/200) | Reward: 157.6 | Crash: 38% | Speed: 28.2 | Len: 81 | Eps: 0.033 | Loss: 1.0007 | 5.22s/ep | 53.0m
